Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2006,Drake & Josh Go Hollywood,16.91,166,Popular,Music
2018,Hold the Dark,16.908,747,not_popular,Thriller
2018,Hold the Dark,16.908,747,not_popular,Mystery
2018,Hold the Dark,16.908,747,not_popular,Crime
2008,Gomorrah,16.907,973,Average,Drama
2008,Gomorrah,16.907,973,Average,Crime
2007,Rogue,16.906,485,below_avg,Action
2007,Rogue,16.906,485,below_avg,Horror
2007,Rogue,16.906,485,below_avg,Thriller
1996,Fear,16.906,559,below_avg,Thriller
1931,City Lights,16.904,1584,Popular,Comedy
1931,City Lights,16.904,1584,Popular,Drama
1931,City Lights,16.904,1584,Popular,Romance
2016,The Rocky Horror Picture Show: Let's Do the Time Warp Again,16.903,170,not_popular,Horror
2016,The Rocky Horror Picture Show: Let's Do the Time Warp Again,16.903,170,not_popular,TV Movie
2016,The Rocky Horror Picture Show: Let's Do the Time Warp Again,16.903,170,not_popular,Comedy
2016,The Rocky Horror Picture Show: Let's Do the Time Warp Again,16.903,170,not_popular,Music
